Season Games,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
1-8,,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1-8,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nate Adkins,,,,,,,,,,,,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,3.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
1-8,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,P.J. Locke,7.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
9-16,,0,0.0,0.0,0,,,,,,,,P.J. Locke,15.0,7.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,P.J. Locke,7.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
9-16,,0,0.0,0.0,0,,,,,,,,P.J. Locke,15.0,7.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,Randy Gregory,6.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
1-8,,448,44.8,,61,,39.0,7.8,,,,,Riley Dixon,,,,,,,,,,,,10.0,0.0,0.0,4.0,40.0,5.0,40.9,,,
1-8,,791,7.6,6.0,60,7.0,57.0,8.1,0.0,15.0,,,Russell Wilson,,,,10.0,,,,,,2.0,,,,,,,104.0,,68.0,65.4,99.5
1-8,9.0,54,4.5,0.0,12,12.0,72.0,8.0,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,Thomas Incoom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
1-8,30.0,424,14.1,3.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
9-16,23.0,310,13.5,2.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,Tremon Smith,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
9-16,1.0,0,0.0,0.0,0,1.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
1-8,,0,0.0,0.0,0,,,,,,,,Zach Allen,7.0,2.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
